id,name,category,implementation_year,description,implementing_agency,budget,objectives,latest_score,assessment_count
HDB-1960-001,Housing Development Act,Phát triển đô thị,1960,Background: Post-independence housing shortage. Legal Framework: Housing and Development Act 1959,Housing & Development Board,50000000000.0,Provide affordable housing; Urban planning; Community development,5.0,2
CPF-1955-001,Central Provident Fund,An sinh xã hội,1955,Background: Need for retirement security. Legal Framework: Central Provident Fund Ordinance 1953,Central Provident Fund Board,,Retirement savings; Healthcare coverage; Housing finance,4.428571428571429,1
MEDISAVE-1984-001,Medisave Scheme,Chăm sóc sức khỏe,1984,Background: Rising healthcare costs. Legal Framework: Medisave Act 1983,Ministry of Health,,Healthcare financing; Medical cost control; Health security,3.7857142857142856,1
GST-1994-001,Goods and Services Tax,Thuế,1994,Background: Need for tax diversification. Legal Framework: Goods and Services Tax Act 1993,Inland Revenue Authority of Singapore,,Government revenue; Tax efficiency; Economic growth,3.642857142857143,2
SKILLSFUTURE-2015-001,SkillsFuture Initiative,Giáo dục,2015,Background: Economic transformation needs. Legal Framework: SkillsFuture Singapore Agency Act 2016,SkillsFuture Singapore,5000000000.0,Lifelong learning; Skills upgrading; Economic competitiveness,3.9285714285714284,1
NS-1967-001,National Service,An ninh quốc phòng,1967,Background: Regional security threats. Legal Framework: Enlistment Act 1970,Ministry of Defence,8000000000.0,National defense; Character building; Social cohesion,4.071428571428571,1
SMOKING-1970-001,Smoking (Prohibition in Certain Places) Act,Giữ gìn trật tự đô thị,1970,Background: Public health awareness. Legal Framework: Smoking (Prohibition in Certain Places) Act 1970,National Environment Agency,,Public health; Environmental protection; Social behavior,4.0,1
MAS-1970-001,Monetary Authority of Singapore Act,Kinh tế tài chính,1970,Background: Need for financial regulation. Legal Framework: Monetary Authority of Singapore Act 1970,Monetary Authority of Singapore,,Financial stability; Economic growth; Market regulation,4.428571428571429,1
NAC-1991-001,National Arts Council,Văn hóa xã hội,1991,Background: Cultural identity development. Legal Framework: National Arts Council Act 1991,National Arts Council,300000000.0,Cultural development; Artistic excellence; National identity,3.2142857142857144,1
COMCARE-2005-001,ComCare Assistance Scheme,Phúc lợi xã hội,2005,Background: Income inequality concerns. Legal Framework: ComCare Endowment Fund Act 2005,Ministry of Social and Family Development,500000000.0,Poverty alleviation; Social support; Family stability,3.5,1
