policy_id,assessment_date,assessor_organization,methodology_used,scope,magnitude,durability,adaptability,cross_referencing,confidence_level,data_sources,beneficiaries_count,budget_utilization_percent,public_satisfaction_score,media_coverage_sentiment,amendments_count,gdp_contribution_percent,employment_impact,cost_benefit_ratio,notes
HDB-1960-001,2020-01-15,Singapore Policy Research Institute,Comprehensive Impact Analysis,5,5,5,4,5,5,Government housing statistics; Academic studies; International comparisons,2800000,95,8.5,0.8,15,2.1,500000,3.2,Sustained excellence in public housing provision
HDB-1960-001,2023-06-10,Urban Studies Research Centre NUS,Longitudinal Assessment,5,5,5,5,5,5,HDB annual reports; Census data; Comparative studies,3200000,92,8.7,0.9,18,2.3,600000,3.5,Continued adaptation to changing demographics
CPF-1955-001,2021-03-20,Social Security Research Center,Multi-stakeholder Assessment,5,4,5,4,4,4,CPF Board reports; Actuarial studies; Public surveys,3800000,98,7.8,0.6,25,1.8,0,4.1,Strong foundation but needs digital enhancement
MEDISAVE-1984-001,2022-11-15,Healthcare Economics Institute,Health System Impact Study,4,4,4,3,4,4,MOH data; Healthcare utilization stats; Cost studies,3800000,89,7.2,0.5,12,0.8,50000,2.8,Effective but challenged by aging population
GST-1994-001,2019-11-05,Tax Policy Analysis Unit,Revenue Impact Assessment,4,3,4,3,3,3,IRAS reports; Business surveys; Economic analysis,5900000,100,6.5,0.2,8,3.2,0,2.1,Effective revenue tool but regressive concerns
GST-1994-001,2023-02-15,Economic Research Institute,Digital Economy Adaptation Study,4,3,4,4,3,4,IRAS digital reports; E-commerce data; Tax compliance,5900000,100,6.8,0.3,10,3.5,0,2.3,Improved adaptability with digital initiatives
SKILLSFUTURE-2015-001,2020-08-12,Education Policy Research Group,Skills Impact Evaluation,4,4,3,5,4,4,SSG training data; Employment outcomes; Industry feedback,2200000,85,7.6,0.7,5,0.5,150000,1.8,Innovative approach with strong adaptability
NS-1967-001,2018-09-30,Defense Studies Center,National Security Assessment,4,4,5,3,4,5,MINDEF reports; Regional security analysis; International studies,300000,95,7.0,0.4,8,1.2,300000,N/A,Enduring impact on security and social cohesion
SMOKING-1970-001,2020-05-18,Public Health Policy Institute,Health Behavior Impact Study,3,4,4,4,5,4,NEA enforcement data; Health surveys; WHO studies,5900000,98,8.2,0.9,6,0.3,0,5.2,Significant public health impact with strong validation
MAS-1970-001,2019-12-08,Financial Services Research Group,Financial Sector Impact Analysis,5,4,5,4,4,5,MAS reports; Financial sector data; International rankings,2000000,92,7.8,0.6,15,8.5,250000,4.5,Critical framework for financial sector development
NAC-1991-001,2022-04-25,Cultural Policy Studies Unit,Arts Ecosystem Assessment,3,3,3,4,3,3,NAC reports; Arts participation data; Cultural surveys,800000,88,7.1,0.6,4,0.2,25000,1.5,Moderate impact with good cultural development
COMCARE-2005-001,2021-11-12,Social Welfare Research Center,Poverty Alleviation Impact Study,3,3,4,4,3,4,MSF assistance data; Beneficiary surveys; Poverty studies,150000,82,7.4,0.5,3,0.1,5000,2.2,Effective targeted assistance with room for expansion
